 ikr ibn iq imode EPCE[meV]
   1 102   1 109   -0.8992373156E+01
   1 102   1 110   -0.5080953670E+01
   1 102   1 111   -0.7274919312E+01
   1 102   1 112   -0.9941834561E+01
   1 102   1 113   -0.8581129350E+01
   1 102   1 114   -0.9435145581E+01
   1 102   1 115   -0.2736467043E+01
   1 102   1 116   -0.1154790312E+02
   1 102   1 117   -0.1419755653E+02
   1 102   1 118   -0.4825440017E+01
   1 102   1 119   -0.4156300758E+01
   1 102   1 120   -0.1654344233E+02
   1 102   1 121   -0.3627937021E+01
   1 102   1 122   -0.1902970478E+01
   1 102   1 123   -0.5929092430E+01
   1 102   1 124   -0.6039829009E+01
   1 102   1 125   -0.7063874125E+01
   1 102   1 126   -0.6752915149E+01
   1 102   1 127   -0.6744485290E+01
   1 102   1 128   -0.1018226314E+02
   1 102   1 129   -0.5656117666E+01
   1 102   1 130   -0.7088866201E+01
   1 102   1 131   -0.5922234214E+01
   1 102   1 132   -0.2318405319E+01
   1 102   1 133   -0.4530617155E+01
   1 102   1 134   -0.6888328340E+01
   1 102   1 135   -0.6944363004E+01
   1 102   1 136   -0.9770029087E+01
   1 102   1 137   -0.8323398088E+01
   1 102   1 138   -0.6191664879E+01
   1 102   1 139   -0.4751430429E+01
   1 102   1 140   -0.4694906569E+01
   1 102   1 141   -0.7915389490E+01
   1 102   1 142   -0.5015260901E+01
   1 102   1 143   -0.6318726003E+01
   1 102   1 144   -0.8014960067E+01
   1 102   1 145   -0.2642396925E+01
   1 102   1 146   -0.1514774936E+02
   1 102   1 147   -0.1196614764E+02
   1 102   1 148   -0.5881576557E+01
   1 102   1 149   -0.3786784278E+01
   1 102   1 150   -0.2580937647E+01
   1 102   1 151   -0.2880549450E+01
   1 102   1 152   -0.4542803441E+01
   1 102   1 153   -0.6441292417E+01
   1 102   1 154   -0.7741945465E+01
   1 102   1 155   -0.1103806987E+02
   1 102   1 156   -0.1295801475E+02
   1 102   1 157   -0.9845555962E+01
   1 102   1 158   -0.1714714063E+02
   1 102   1 159   -0.1447572039E+02
   1 102   1 160   -0.2476397202E+01
   1 102   1 161   -0.1036425392E+02
   1 102   1 162   -0.1833407806E+01
   1 103   1   1    0.0000000000E+00
   1 103   1   2    0.0000000000E+00
   1 103   1   3    0.0000000000E+00
   1 103   1   4   -0.1487160220E+02
   1 103   1   5   -0.3127728579E+02
   1 103   1   6   -0.9904085834E+01
   1 103   1   7   -0.1912310750E+02
   1 103   1   8   -0.7780812376E+01
   1 103   1   9   -0.1237430450E+02
   1 103   1  10   -0.1296881690E+02
   1 103   1  11   -0.1215084631E+02
   1 103   1  12   -0.1228615691E+02
   1 103   1  13   -0.9186645754E+01
   1 103   1  14   -0.1604281859E+02
   1 103   1  15   -0.1955800512E+02
   1 103   1  16   -0.7486680776E+01
   1 103   1  17   -0.3091700629E+02
   1 103   1  18   -0.1421555525E+02
   1 103   1  19   -0.2091875567E+02
   1 103   1  20   -0.1104654766E+02
   1 103   1  21   -0.2598911456E+02
   1 103   1  22   -0.1097566106E+02
   1 103   1  23   -0.8034428677E+01
   1 103   1  24   -0.6778461952E+01
   1 103   1  25   -0.1402613094E+02
   1 103   1  26   -0.7528862055E+01
   1 103   1  27   -0.1126324616E+02
   1 103   1  28   -0.7347085077E+01
   1 103   1  29   -0.5719732978E+01
   1 103   1  30   -0.8800998091E+01
   1 103   1  31   -0.2077848446E+02
   1 103   1  32   -0.8021536071E+01
   1 103   1  33   -0.1519331165E+02
   1 103   1  34   -0.5819199260E+01
   1 103   1  35   -0.1079409681E+02
   1 103   1  36   -0.7912325011E+01
   1 103   1  37   -0.6141396072E+01
   1 103   1  38   -0.6668617368E+01
   1 103   1  39   -0.6641991030E+01
   1 103   1  40   -0.9330697956E+01
   1 103   1  41   -0.6032946692E+01
   1 103   1  42   -0.1025439632E+02
   1 103   1  43   -0.2190844097E+02
   1 103   1  44   -0.8615696373E+01
   1 103   1  45   -0.6599335881E+01
   1 103   1  46   -0.1001591407E+02
   1 103   1  47   -0.9855081911E+01
   1 103   1  48   -0.6670892003E+01
   1 103   1  49   -0.8435679409E+01
   1 103   1  50   -0.7448979194E+01
   1 103   1  51   -0.1252062627E+02
   1 103   1  52   -0.8671470708E+01
   1 103   1  53   -0.7399065221E+01
   1 103   1  54   -0.9064707494E+01
   1 103   1  55   -0.1309828201E+02
   1 103   1  56   -0.7285055049E+01
   1 103   1  57   -0.1488609643E+02
   1 103   1  58   -0.6106537749E+01
   1 103   1  59   -0.8900506018E+01
   1 103   1  60   -0.5017355471E+01
   1 103   1  61   -0.1160863500E+02
   1 103   1  62   -0.6349642269E+01
   1 103   1  63   -0.9415642934E+01
   1 103   1  64   -0.9051238951E+01
   1 103   1  65   -0.6924653300E+01
   1 103   1  66   -0.1044921541E+02
   1 103   1  67   -0.4144618866E+01
   1 103   1  68   -0.3578208152E+01
   1 103   1  69   -0.6722688515E+01
   1 103   1  70   -0.6237890120E+01
   1 103   1  71   -0.6724222201E+01
   1 103   1  72   -0.4853871128E+01
   1 103   1  73   -0.5499002872E+01
   1 103   1  74   -0.5288605411E+01
   1 103   1  75   -0.7058939760E+01
   1 103   1  76   -0.1025378849E+02
   1 103   1  77   -0.5620318691E+01
   1 103   1  78   -0.5087216844E+01
   1 103   1  79   -0.5817337897E+01
   1 103   1  80   -0.5036508259E+01
   1 103   1  81   -0.1167422304E+02
   1 103   1  82   -0.2008963377E+02
   1 103   1  83   -0.9293489202E+01
   1 103   1  84   -0.1100159958E+02
   1 103   1  85   -0.6254656816E+01
   1 103   1  86   -0.4539277715E+01
   1 103   1  87   -0.8316608790E+01
   1 103   1  88   -0.7167721593E+01
   1 103   1  89   -0.1558393531E+02
   1 103   1  90   -0.4766319954E+01
   1 103   1  91   -0.5172134219E+01
   1 103   1  92   -0.4581911100E+01
   1 103   1  93   -0.6499794455E+01
   1 103   1  94   -0.6279514607E+01
   1 103   1  95   -0.7566424497E+01
   1 103   1  96   -0.4626683344E+01
   1 103   1  97   -0.2951490005E+01
   1 103   1  98   -0.6535648621E+01
   1 103   1  99   -0.9080832893E+01
   1 103   1 100   -0.1106852977E+02
   1 103   1 101   -0.1269553438E+00
   1 103   1 102   -0.3114111245E+01
   1 103   1 103   -0.5726414363E+01
   1 103   1 104   -0.4939415133E+01
   1 103   1 105   -0.3414510490E+01
   1 103   1 106   -0.6247621705E+01
   1 103   1 107   -0.5869764250E+01
